strategy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
reentrancy_probe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1207,0.1897,0.1379,0.1897,0.069,0.1034,0.1034,0.069,0.0862,0.0517,0.1034,0.069,0.0862,0.2069,0.0517,0.1034,0.0172,0.0517,0.0862,0.1034,0.1207,0.0345,0.1034,0.1034,0.1552,0.1897,0.1034,0.069,0.1379,0.1379,0.1379,0.1897,0.1379,0.1034,0.1207,0.1207,0.1034,0.0345,0.069,0.1034,0.0517,0.0172,0.0517,0.0517,0.0345,0.0862,0.0517,0.1207,0.2241,0.0345,0.0862,0.1207,0.1207,0.0517,0.0172,0.069,0.0862,0.0517,0.0172,0.0517,0.069,0.0345,0.1034,0.1034,0.1897,0.069,0.1034,0.1034,0.0345,0.1207,0.1034,0.069,0.0345,0.069,0.1379,0.1379,0.1379,0.069,0.0172,0.1207,0.069,0.0517
arithmetic_probe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.1379,0.1552,0.0862,0.1379,0.1034,0.069,0.1379,0.1724,0.1034,0.2069,0.1379,0.0862,0.0862,0.0345,0.0862,0.0862,0.069,0.1034,0.1207,0.1724,0.1379,0.1207,0.1724,0.0862,0.1379,0.0862,0.1034,0.0862,0.2931,0.2241,0.1034,0.1207,0.2241,0.1379,0.1034,0.1897,0.1207,0.1207,0.069,0.0517,0.0862,0.1379,0.1552,0.2069,0.1379,0.0862,0.069,0.0345,0.0862,0.1034,0.2069,0.1207,0.1034,0.1207,0.0862,0.1379,0.0517,0.1379,0.0345,0.1034,0.069,0.1034,0.1379,0.069,0.069,0.0517,0.069,0.069,0.1034,0.0517,0.0862,0.1552,0.0345,0.0862,0.1207,0.069,0.1034,0.0862,0.069,0.1207,0.069
access_control_probe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1207,0.1034,0.1034,0.0862,0.069,0.0862,0.1207,0.0517,0.0517,0.069,0.0862,0.0862,0.0862,0.069,0.0345,0.0345,0.069,0.1207,0.0862,0.069,0.1379,0.1379,0.069,0.1034,0.1034,0.1034,0.1207,0.069,0.1552,0.0517,0.1379,0.1552,0.0517,0.0517,0.069,0.1034,0.0862,0.1552,0.1379,0.1379,0.1897,0.1207,0.069,0.1034,0.0862,0.0862,0.1034,0.1724,0.1552,0.1207,0.0345,0.069,0.1552,0.1034,0.1552,0.1552,0.069,0.1207,0.069,0.069,0.1724,0.1379,0.1207,0.069,0.069,0.1552,0.1034,0.1379,0.1034,0.1034,0.1552,0.1207,0.1379,0.1724,0.1724,0.1034,0.1207,0.1379,0.1897,0.2414,0.1724,0.1034
price_oracle_probe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1552,0.1034,0.069,0.069,0.1207,0.0862,0.0862,0.0862,0.1897,0.1379,0.0862,0.1379,0.0517,0.0862,0.1379,0.0862,0.0862,0.2586,0.0862,0.1034,0.1034,0.0517,0.1724,0.1724,0.2069,0.1207,0.1207,0.1897,0.0862,0.1552,0.2069,0.1207,0.1552,0.1207,0.1034,0.1207,0.0172,0.1207,0.1034,0.069,0.069,0.1552,0.1207,0.0517,0.0345,0.0345,0.1379,0.1207,0.1034,0.1034,0.1034,0.0862,0.0862,0.1552,0.069,0.1207,0.1207,0.0862,0.0862,0.1207,0.1034,0.1724,0.1379,0.1552,0.1034,0.1207,0.0862,0.1207,0.1207,0.0172,0.0517,0.1034,0.069,0.0345,0.0862,0.0862,0.1552,0.1552,0.1379,0.1724,0.1724,0.2069
logic_error_probe,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1207,0.1552,0.069,0.0862,0.0345,0.1379,0.1379,0.1379,0.0517,0.1724,0.0862,0.1552,0.1724,0.1207,0.1897,0.1897,0.1207,0.1552,0.1034,0.0862,0.1034,0.3276,0.1207,0.1552,0.1379,0.0862,0.1207,0.1379,0.0862,0.0517,0.0345,0.1897,0.0862,0.069,0.1207,0.1552,0.1207,0.0862,0.1207,0.069,0.1379,0.1379,0.1207,0.069,0.1379,0.1724,0.0517,0.0517,0.0345,0.0517,0.1034,0.069,0.0517,0.1379,0.1207,0.069,0.1207,0.1034,0.1207,0.0862,0.1034,0.1552,0.0862,0.0172,0.0517,0.1379,0.1897,0.1897,0.1379,0.069,0.069,0.1034,0.0172,0.069,0.0517,0.1034,0.0862,0.1379,0.0862,0.069,0.1034,0.1207
value_perturb,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0517,0.069,0.1034,0.1379,0.0517,0.1379,0.1034,0.1379,0.1379,0.1034,0.1207,0.1034,0.1207,0.1207,0.1207,0.1207,0.1897,0.1034,0.1207,0.1034,0.0517,0.069,0.0862,0.0345,0.0862,0.1207,0.0862,0.069,0.0862,0.1034,0.0345,0.0345,0.0345,0.0862,0.1207,0.1379,0.1207,0.1552,0.1379,0.0862,0.1379,0.1207,0.1207,0.0862,0.1552,0.1379,0.1207,0.1207,0.1379,0.1379,0.1552,0.1034,0.0862,0.1379,0.1034,0.1379,0.1379,0.1034,0.1552,0.2586,0.1207,0.0862,0.1034,0.1034,0.0862,0.1207,0.0517,0.1207,0.1552,0.1034,0.069,0.0345,0.1207,0.069,0.0517,0.1034,0.069,0.069,0.1724,0.069,0.1379,0.1379
call_insert,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1379,0.1034,0.1724,0.1724,0.1379,0.1034,0.1034,0.1207,0.1034,0.1034,0.0862,0.1034,0.0862,0.0517,0.1379,0.1552,0.1552,0.0862,0.1552,0.1724,0.1034,0.0862,0.1552,0.1379,0.0862,0.1724,0.1724,0.1379,0.069,0.1034,0.1034,0.0345,0.1379,0.1379,0.1034,0.1207,0.1034,0.1552,0.069,0.1552,0.1379,0.1207,0.069,0.1034,0.1034,0.1379,0.1034,0.1207,0.0862,0.1034,0.1034,0.1207,0.1552,0.1034,0.1897,0.1034,0.069,0.1207,0.1379,0.1034,0.1034,0.0517,0.1034,0.1207,0.1552,0.0862,0.1034,0.0517,0.1724,0.1379,0.2069,0.2069,0.2759,0.2241,0.1724,0.1552,0.1379,0.1207,0.1207,0.0345,0.0172,0.0517
call_swap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1034,0.0345,0.1207,0.1034,0.2069,0.1379,0.0862,0.1379,0.1034,0.2241,0.1034,0.1724,0.1379,0.1379,0.1207,0.1207,0.2069,0.1207,0.1379,0.0862,0.0862,0.1034,0.0345,0.069,0.1207,0.0345,0.1379,0.1552,0.1552,0.0517,0.0517,0.069,0.1379,0.1034,0.0862,0.0517,0.1207,0.1552,0.1379,0.1897,0.1207,0.1034,0.1034,0.1724,0.1379,0.1379,0.1724,0.1207,0.1207,0.1379,0.1207,0.1552,0.1034,0.0862,0.0862,0.1207,0.1552,0.1724,0.1552,0.1897,0.1207,0.1897,0.1207,0.1379,0.2069,0.1379,0.1552,0.1034,0.1207,0.1379,0.1034,0.1724,0.1207,0.1207,0.069,0.0517,0.1552,0.069,0.069,0.069,0.1207,0.1207
arg_shuffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1207,0.1034,0.069,0.069,0.1724,0.1034,0.1897,0.1207,0.1034,0.0345,0.1207,0.0345,0.1724,0.1207,0.1724,0.1034,0.069,0.0345,0.1207,0.1552,0.1207,0.0517,0.1379,0.0517,0.0172,0.0345,0.0517,0.069,0.1379,0.0517,0.069,0.1034,0.1379,0.1034,0.1379,0.0862,0.1379,0.0172,0.1034,0.1207,0.1034,0.1379,0.2069,0.2069,0.1034,0.069,0.1724,0.1034,0.1034,0.2241,0.1897,0.069,0.1207,0.1207,0.1379,0.1379,0.1034,0.1897,0.1207,0.0862,0.1034,0.1034,0.1207,0.1552,0.069,0.1034,0.1552,0.1034,0.0862,0.2069,0.1897,0.1034,0.069,0.2069,0.1724,0.1379,0.069,0.1379,0.1207,0.1552,0.0862,0.1379
