,SSCFuzz (ours),LLMFuzz
none (pure gen),0.5386206896551724,0.5536206896551724
call_swap,0.12,0.11517241379310345
call_insert,0.11896551724137931,0.10931034482758621
value_perturb,0.10810344827586207,0.11603448275862069
arg_shuffle,0.1143103448275862,0.10586206896551724
