,RLFuzz,MADFuzz
attacker,0.5046551724137931,0.38689655172413795
nopay-nocall-store,0.3106896551724138,0.38551724137931037
pay-nocall,0.10172413793103448,0.15241379310344827
nopay-call,0.06293103448275862,0.05551724137931034
selfdestruct,0.015344827586206897,0.011034482758620689
pay-call,0.004655172413793103,0.008620689655172414
