bin,regime,n,mean_reward,mean_new_bc
0-19,greedy,923,1.502,1.919
0-19,random,237,2.793,8.097
20-39,greedy,1010,0.322,0.234
20-39,random,150,1.203,1.613
40-59,greedy,1017,0.123,0.074
40-59,random,141,1.165,1.475
60-79,greedy,1027,0.071,0.042
60-79,random,126,0.5,0.754
80-99,greedy,1013,0.069,0.056
80-99,random,145,0.369,0.676
