method,detection_rate,contracts_with_bug,total_bugs,mean_bugs,mean_bc_cov,median_bc_cov,mean_reward,median_ttfb,coverage_auc,tokens_total,bugs_per_1k_tok
RandomFuzz,0.22413793103448276,13,613,10.568965517241379,0.5761413793103448,0.5847500000000001,32.70034482758621,0.0,0.5637003260344828,0,
FinanceFuzz,0.1206896551724138,7,7,0.1206896551724138,0.3995310344827587,0.4286,0.0,15.0,0.3638907856739013,0,
RLFuzz,0.39655172413793105,23,709,12.224137931034482,0.6500224137931034,0.68565,40.39655172413793,6.0,0.6175544327586209,0,
MADFuzz,0.3620689655172414,21,668,11.517241379310345,0.618955172413793,0.6532,37.430517241379306,6.0,0.5923485472413794,230000,2.9043478260869566
LLMFuzz,0.3103448275862069,18,470,8.10344827586207,0.513748275862069,0.5767,43.115,2.5,0.47246114568965514,23310370,0.020162700120161112
SSCFuzz (ours),0.39655172413793105,23,542,9.344827586206897,0.6171844827586207,0.67975,53.56413793103449,5.0,0.5690028543103447,20872914,0.02596666665708487
