,SSCFuzz (ours),LLMFuzz
access_control_probe,0.20206896551724138,0.21689655172413794
logic_error_probe,0.21362068965517242,0.19827586206896552
reentrancy_probe,0.18775862068965518,0.21827586206896551
arithmetic_probe,0.20793103448275863,0.19413793103448276
price_oracle_probe,0.18862068965517242,0.1724137931034483
