baseline,d_cov_mean,d_cov_median,wilcoxon_p,cliffs_delta_cov,bug_sscfuzz_only,bug_baseline_only,mcnemar_p
RandomFuzz,0.07308484848484842,0.04760000000000009,5.577424864260952e-05,0.5436179981634527,4,2,0.6875
FinanceFuzz,0.14980303030303022,0.08930000000000005,9.323508377644746e-07,0.7933884297520661,12,5,0.143463134765625
RLFuzz,-0.013236363636363602,0.0,0.09260069782067576,-0.07254361799816346,2,2,1.0
MADFuzz,0.018684848484848526,0.0,0.13214263150106426,0.051423324150596875,3,1,0.625
LLMFuzz,0.07293939393939397,0.07140000000000002,0.00016172073517587766,0.49770431588613406,3,2,1.0
