,SSCFuzz (ours),LLMFuzz
none (pure gen),0.543939393939394,0.5472727272727272
arg_shuffle,0.11727272727272728,0.11212121212121212
call_swap,0.11454545454545455,0.11424242424242424
call_insert,0.11424242424242424,0.1112121212121212
value_perturb,0.11,0.11515151515151516
