,SSCFuzz (ours),LLMFuzz
access_control_probe,0.2006060606060606,0.2409090909090909
logic_error_probe,0.21363636363636362,0.21666666666666667
reentrancy_probe,0.20303030303030303,0.20030303030303032
arithmetic_probe,0.2081818181818182,0.1893939393939394
price_oracle_probe,0.17454545454545456,0.15272727272727274
