method,detection_rate,contracts_with_bug,total_bugs,mean_bugs,mean_bc_cov,median_bc_cov,mean_reward,median_ttfb,coverage_auc,tokens_total,bugs_per_1k_tok
RandomFuzz,0.3333333333333333,11,551,16.696969696969695,0.6429424242424243,0.6667,41.02030303030303,0.0,0.6364776775757576,0,
FinanceFuzz,0.18181818181818182,6,6,0.18181818181818182,0.5662242424242424,0.625,0.0,16.0,0.5172608414038751,0,
RLFuzz,0.3939393939393939,13,594,18.0,0.7292636363636364,0.7143,46.13969696969696,2.0,0.7063494196969697,0,
MADFuzz,0.3333333333333333,11,541,16.393939393939394,0.6973424242424242,0.7143,41.8330303030303,3.0,0.6787918248484849,90872,5.953428999031605
LLMFuzz,0.36363636363636365,12,376,11.393939393939394,0.6430878787878789,0.6429,57.62090909090909,1.0,0.6027353551515151,8555146,0.04395015584772019
SSCFuzz (ours),0.3939393939393939,13,411,12.454545454545455,0.7160272727272727,0.7143,63.944545454545455,1.0,0.6822759103030303,7633211,0.05384365766909889
