bin,regime,n,mean_reward,mean_new_bc
0-19,greedy,534,2.08,0.779
0-19,random,126,3.286,2.5
20-39,greedy,570,0.326,0.035
20-39,random,90,0.912,0.133
40-59,greedy,583,0.116,0.015
40-59,random,75,1.49,0.187
60-79,greedy,586,0.066,0.044
60-79,random,73,0.411,0.041
80-99,greedy,582,0.076,0.043
80-99,random,78,0.313,0.013
