,RLFuzz,MADFuzz
attacker,0.49363636363636365,0.3933333333333333
nopay-nocall-store,0.24212121212121213,0.2696969696969697
pay-nocall,0.16090909090909092,0.24454545454545454
nopay-call,0.07636363636363637,0.07303030303030303
selfdestruct,0.02696969696969697,0.019393939393939394
