dataset,quadrant,n,randomfuzz_cov,randomfuzz_bugrate,financefuzz_cov,financefuzz_bugrate,rlfuzz_cov,rlfuzz_bugrate,madfuzz_cov,madfuzz_bugrate,llmfuzz_cov,llmfuzz_bugrate,sscfuzz_cov,sscfuzz_bugrate,cov_winner
defihacklabs,narrow+deep,7,0.436,0.0,0.133,0.0,0.51,0.286,0.46,0.143,0.3,0.143,0.445,0.143,RLFuzz
defihacklabs,narrow+shallow,6,0.556,0.167,0.29,0.0,0.611,0.333,0.588,0.5,0.465,0.333,0.578,0.333,RLFuzz
defihacklabs,wide+deep,4,0.427,0.0,0.096,0.0,0.497,0.0,0.438,0.0,0.266,0.0,0.364,0.0,RLFuzz
defihacklabs,wide+shallow,8,0.512,0.125,0.179,0.125,0.552,0.75,0.548,0.75,0.352,0.375,0.516,0.875,RLFuzz
