,1,2,3,4-5,6+
1,1.2405848471422243,0.0,0.0,0.0,0.0
2-3,0.47393364928909953,2.747844827586207,3.088101725703906,0.0,0.0
4-5,0.0,2.0,10.85972850678733,4.411764705882353,0.0
6-8,0.0,0.0,2.272727272727273,7.346938775510205,3.737811484290358
9+,0.0,0.0,8.51063829787234,2.1238938053097343,5.13499205929063
