baseline,d_cov_mean,d_cov_median,wilcoxon_p,cliffs_delta_cov,bug_sscfuzz_only,bug_baseline_only,mcnemar_p
RandomFuzz,-0.0012520000000000309,0.0042999999999999705,0.9578450322151184,0.0176,8,0,0.0078125
FinanceFuzz,0.307216,0.36060000000000003,5.960464477539063e-08,0.8752,9,0,0.00390625
RLFuzz,-0.05871200000000004,-0.052200000000000024,3.4300562234013e-05,-0.2624,2,2,1.0
MADFuzz,-0.028772000000000075,-0.023399999999999976,0.015158438877439456,-0.1248,1,1,1.0
LLMFuzz,0.143692,0.17049999999999998,1.1920928955078125e-07,0.5264,5,1,0.21875
